country,capital,alpha-3,continent,teritory
Afghanistan,Kabul,AFG,Asia,"Kabul, Persian Kābol, city, capital of the province of Kabul and of Afghanistan. The largest urban centre in the country and also its political and economic hub, the city forms one of several districts of Kabul province. It lies at the intersection of roads that lead to Uzbekistan (via Mazār-e Sharīf) to the north, Pakistan (via Jalālābād) to the east, and Kandahār to the south. A settlement has existed at or near Kabul for some 3,500 years, but it was not until the early 20th century that the city extended north of the Kabul River. This growth continued through the 1980s, when villagers from areas affected by the Afghan War (1978–92) migrated to the relative safety of Kabul. Fighting between factions who occupied the city in 1992 resulted in significant damage and displacement of the urban population. The city has witnessed unprecedented growth since the U.S.-led invasion of the country in 2001 in response to the September 11 attacks."
Albania,Tirana,ALB,Europe,"Tirana, Albanian Tiranë, city, capital of Albania. It lies 17 miles (27 km) east of the Adriatic Sea coast and along the Ishm River, at the end of a fertile plain. It was founded in the early 17th century by a Turkish general, Barkinzade Süleyman Paşa, who is said to have built a mosque, a bathhouse, and a bakery in order to attract settlement. The town gradually became a trading centre at a junction of roads and caravan trails. It was chosen to be the capital of Albania in 1920 by a congress at Lushnjë. Under King Zog I (reigned 1928–39), Italian architects were employed to replan the city. The focus is Skanderbeg Square, whose Etehem Bey Mosque (1819) is now flanked by the Soviet-built Palace of Culture. Nearby is the University of Tirana (1957). The old city stretches to the east and north of the main square and features alehouses and historic architecture. Tirana has museums, a national institute of folklore, a national theatre, and a concert hall. Skanderbeg Square has a large statue of Skanderbeg (Gjergj Kastrioti), the Albanian national hero. The inhabitants of Tirana are mostly Muslim."
Algeria,Algiers,DZA,Africa,"Algiers, French Alger, Arabic Al-Jazāʾir, capital and chief seaport of Algeria. It is the political, economic, and cultural centre of the country.Algiers is built on the slopes of the Sahel Hills, which parallel the Mediterranean Sea coast, and it extends for some 10 miles (16 km) along the Bay of Algiers. The city faces east and north and forms a large amphitheatre of dazzling white buildings that dominate the harbour and the bay. The city takes its name (Arabic: “The Islands”) from several small islands that formerly existed in the bay, all but one of which have been connected to the shore or obliterated by harbour works."
Andorra,Andorra la Vella,AND,Europe,"Andorra la Vella, (Catalan: “Andorra the Old”) , French Andorre la Vieille, Spanish Andorra la Vieja, town, capital of the independent coprincipality of Andorra. It lies near the confluence of the Valira and the Valira del Norte rivers in the narrow Gran Valira valley, on the southern slopes of the Pyrenees. Andorra la Vella long remained relatively isolated from the outside world. Its modernization began in the 1930s with the construction of carriage roads, and its population increased after World War II as a result of the growth of the tourist industry. In the 1960s and ’70s Andorra la Vella was transformed from a rustic town into a busy commercial centre catering to shoppers and tourists. Winter sports areas are nearby. Because of Andorra’s duty-free status, the town is now primarily a retail shopping centre for goods imported from elsewhere in Europe and from Asia. The General Council (Andorra’s parliament) meets in Andorra la Vella. The town is connected by road to the Spanish and French frontiers and shares in both cultures. "
Angola,Luanda,AGO,Africa,"Luanda, also spelled Loanda, formerly São Paulo de Luanda, city, capital of Angola. Located on the Atlantic coast of northern Angola, it is the country’s largest city and one of its busiest seaports. Founded in 1576 by Paulo Dias de Novais and initially settled by the Portuguese, Luanda became the administrative centre of the Portuguese colony of Angola in 1627 and was a major outlet for slave traffic to Brazil. The city is regarded as the capital of the Mbundu peoples, who have their roots in the surrounding area. Luanda has a warm equable climate. The surrounding region fronts a tropical coastal plain that gives way to a tableland dissected and drained by the Cuanza River and other coastal streams. Cambambe Dam, 110 miles (177 km) to the southeast on the Cuanza, supplies power to Luanda. Skyscrapers and wide avenues give Luanda a modern appearance. The higher part of the city, consisting of the outlying districts, is generally poverty-ridden, and the lower is commercial and industrial. The city is the seat of a Roman Catholic archdiocese and is home to Agostinho Neto University (1963) and the Catholic University of Angola (1997). The National Library of Angola and the National Historic Archive are also located there, as are several museums."
Armenia,Yerevan,ARM,Asia,"Yerevan, also spelled Erevan, Erivan, or Jerevan, capital of Armenia. It is situated on the Hrazdan River, 14 miles (23 km) from the Turkish frontier. Though first historically recorded in 607 ce, Yerevan dates by archaeological evidence to a settlement on the site in the 6th–3rd millennia bce and subsequently to the fortress of Yerbuni in 783 bce. From the 6th century bce it formed part of the Armenian kingdom. The city developed as an important focus of trade and has had a long history of siege and storm. At different times it came under the Romans (a ruined fortress remains), Parthians, Arabs, Mongols, Turks, Persians, Georgians, and Russians. In 1582 it fell to the Turks, in 1604 to the Persians, and finally in 1827 to the Russians. In 1920 Yerevan became the capital of the independent Armenian republic. It remained the capital during the periods of Soviet rule and of renewed independence."
Austria,Vienna,AUT,Europe,"Vienna lies in the northeastern corner of Austria, between the foothills of the Alps and the Carpathians, where the Danube (German: Donau), Europe’s second longest river, has cut its course through the mountains. The city is situated alongside the river, most of it on the right bank. "
Azerbaijan,Baku,AZE,Asia,"Baku, Azerbaijani Bakı, city, capital of Azerbaijan. It lies on the western shore of the Caspian Sea and the southern side of the Abşeron Peninsula, around the wide curving sweep of the Bay of Baku. The bay, sheltered by the islands of the Baku Archipelago, provides the best harbour of the Caspian, while the Abşeron Peninsula gives protection from violent northerly winds. The name Baku is possibly a contraction of the Persian bad kube (“blown upon by mountain winds”). Baku derives its importance from its oil industry and its administrative functions. The first historical reference to Baku dates from 885 ce, although archaeological evidence indicates a settlement there several centuries before Christ. By the 11th century ce, Baku was in the possession of the Shīrvān-Shāhs, who made it their capital in the 12th century, although for a period in the 13th and 14th centuries it came under the sway of the Mongols. In 1723 Peter I (the Great) captured Baku, but it was returned to Persia in 1735; Russia captured it finally in 1806. In 1920 Baku became capital of the Azerbaijan republic."
Bahrain,Manama,BHR,Asia,"Manama, Arabic Al-Manāmah, capital and largest city of Bahrain. It lies at the northeast tip of Bahrain island, in the Persian Gulf. About one-fifth of the country’s population lives in the city. First mentioned in Islamic chronicles about 1345 ce, it was taken by the Portuguese (1521) and by the Persians (1602). It has been held, with brief interruptions, by the ruling Āl Khalīfah dynasty since 1783. Because Bahrain concluded a series of treaties (1861–1914) placing the country under increasing British protection, there was a British political agent stationed at Manama from 1900, subject to the political resident for the Persian Gulf, whose headquarters were long at Būshehr, Iran. In 1946 the residency was moved to Manama, where it remained until the city became the capital of independent Bahrain in 1971. Long an important commercial centre of the northern Persian Gulf, Manama had a traditional economy based on pearling, fishing, boatbuilding, and the import trade. Harbour facilities were poor, and ocean vessels had to anchor in the open roadstead 2–4 miles (3–6 km) offshore. The discovery of petroleum on Bahrain in 1932 revolutionized the city’s economy and appearance, with the construction of many modern buildings. Manama developed as a trade, financial, and commercial centre; it is the seat of numerous banks. The headquarters of the Bahrain Petroleum Company (BAPCO), however, are at ʿAwālī, in the centre of Bahrain island. Manama was declared a free port in 1958, and the deepwater port facilities of Mīnāʾ Salmān, in the protected bay of Al-Qulayʿah Inlet, southeast of the built-up area of the city, were opened in 1962. With storage and refrigeration facilities and equipment for docking and repair of large oceangoing vessels, it is now one of the most important ports of the Persian Gulf. The island and town of Al-Muḥarraq, Bahrain’s second largest community, lies just northeast; the two cities are linked by a causeway 1.5 miles (2.5 km) long."
Belarus,Minsk,BLR,Europe,"Minsk, city, capital of Belarus, and administrative centre of Minsk oblast (region). The city lies along the Svisloch River. First mentioned in 1067, it became the seat of a principality in 1101. Minsk passed to Lithuania in the 14th century and later to Poland and was regained by Russia in the Second Partition of Poland, in 1793. The city has suffered many disasters, including frequent destruction by fire, sacking by the Crimean Tatars in 1505, occupation and damage by French troops in 1812, German occupation in 1918, Polish occupation in 1919–20, and almost total destruction in World War II, especially during the Soviet advance in 1944. Nevertheless, Minsk steadily increased in importance, first as a provincial centre after 1793 and later as an industrial centre after the building of the Moscow-Warsaw and Liepaja-Romny railways through Minsk in the 1870s. In 1919 it became the capital of the Belorussian republic."
Belgium,Brussels,BEL,Europe,"Brussels, Flemish Brussel, French Bruxelles, city, capital of Belgium. It is located in the valley of the Senne (Flemish: Zenne) River, a small tributary of the Schelde (French: Escaut). Greater Brussels is the country’s largest urban agglomeration. It consists of 19 communes, or municipalities, each with a large measure of administrative autonomy. The largest commune—which, like the greater metropolitan area, is named Brussels—contains the historic core of the city and the so-called “European Quarter,” where the institutions of the European Union (EU) are located. Greater Brussels officially became the Brussels-Capital Region in 1989, during the federalization of Belgium. Along with the much larger regions of Flanders and Wallonia, the Brussels-Capital Region constitutes one of the country’s three main political divisions. As the seat of the EU, Brussels is known as the “capital of Europe,” and its significance as a centre of international governance and business makes Brussels a true global city—a status shared with such metropolises as New York, London, Paris, and Tokyo."
